排名,电影名,评分,评价人数,导演,年份,国家,链接
143,侧耳倾听,8.9,未知,近藤喜文 Yoshifumi Kondo,未知,未知,https://movie.douban.com/subject/1297052/
144,被解救的姜戈,8.8,未知,昆汀·塔伦蒂诺 Quentin Tarantino,未知,未知,https://movie.douban.com/subject/6307447/
145,幸福终点站,8.8,未知,史蒂文·斯皮尔伯格 Steven Spielberg,未知,未知,https://movie.douban.com/subject/1292274/
146,请以你的名字呼唤我,8.8,未知,卢卡·瓜达尼诺 Luca Guadagnino,未知,未知,https://movie.douban.com/subject/26799731/
147,釜山行,8.6,未知,延尚昊 Sang-ho Yeon,未知,未知,https://movie.douban.com/subject/25986180/
148,神偷奶爸,8.7,未知,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,未知,未知,https://movie.douban.com/subject/3287562/
149,小森林 冬春篇,9.0,未知,森淳一 Junichi Mori,未知,未知,https://movie.douban.com/subject/25814707/
150,喜宴,9.0,未知,李安 Ang Lee,未知,未知,https://movie.douban.com/subject/1303037/
151,萤火之森,8.8,未知,大森贵弘 Takahiro Omori,未知,未知,https://movie.douban.com/subject/5989818/
152,告白,8.8,未知,中岛哲也 Tetsuya Nakashima,未知,未知,https://movie.douban.com/subject/4268598/
153,七武士,9.3,未知,黑泽明 Akira Kurosawa,未知,未知,https://movie.douban.com/subject/1295399/
154,头号玩家,8.6,未知,史蒂文·斯皮尔伯格 Steven Spielberg,未知,未知,https://movie.douban.com/subject/4920389/
155,玛丽和麦克斯,9.0,未知,亚当·艾略特 Adam Elliot,未知,未知,https://movie.douban.com/subject/3072124/
156,机器人之梦,9.1,未知,巴勃罗·贝格尔 Pablo Berger,未知,未知,https://movie.douban.com/subject/35426925/
157,模仿游戏,8.8,未知,莫滕·泰杜姆 Morten Tyldum,未知,未知,https://movie.douban.com/subject/10463953/
158,惊魂记,9.0,未知,阿尔弗雷德·希区柯克 Alfred Hitchcock,未知,未知,https://movie.douban.com/subject/1293181/
159,心灵奇旅,8.7,未知,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,未知,未知,https://movie.douban.com/subject/24733428/
160,大鱼,8.8,未知,蒂姆·波顿 Tim Burton,未知,未知,https://movie.douban.com/subject/1291545/
161,背靠背，脸对脸,9.5,未知,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,未知,未知,https://movie.douban.com/subject/1307856/
162,你的名字。,8.5,未知,新海诚 Makoto Shinkai,未知,未知,https://movie.douban.com/subject/26683290/
163,血战钢锯岭,8.7,未知,梅尔·吉布森 Mel Gibson,未知,未知,https://movie.douban.com/subject/26325320/
164,射雕英雄传之东成西就,8.7,未知,刘镇伟 Jeffrey Lau,未知,未知,https://movie.douban.com/subject/1316510/
165,末路狂花,9.0,未知,雷德利·斯科特 Ridley Scott,未知,未知,https://movie.douban.com/subject/1291992/
166,我是山姆,9.0,未知,杰茜·尼尔森 Jessie Nelson,未知,未知,https://movie.douban.com/subject/1306861/
167,阳光姐妹淘,8.8,未知,姜炯哲 Hyeong-Cheol Kang,未知,未知,https://movie.douban.com/subject/4917726/
168,高山下的花环,9.5,未知,谢晋 Jin Xie,未知,未知,https://movie.douban.com/subject/1422283/
169,恐怖直播,8.7,未知,金秉祐 Byeong-woo Kim,未知,未知,https://movie.douban.com/subject/21360417/
170,黑客帝国3：矩阵革命,8.8,未知,"拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...
                            2003 / 美国 / 动作 科幻",未知,未知,https://movie.douban.com/subject/1302467/
171,小丑,8.7,未知,托德·菲利普斯 Todd Phillips,未知,未知,https://movie.douban.com/subject/27119724/
